Cat,Identifier,Variable,Mean,SD,2.50%,5%,25%,50%,75%,95%,97.50%
Amber,H84,p.global.CombinedPrey,0.297,0.102,0.171,0.183,0.231,0.274,0.336,0.482,0.561
,,p.global.MMDF,0.703,0.102,0.439,0.518,0.664,0.726,0.769,0.817,0.829
Banjo,H6,p.global.CombinedPrey,0.121,0.103,0.004,0.008,0.043,0.098,0.172,0.32,0.382
,,p.global.PurinaDF,0.262,0.166,0.013,0.027,0.123,0.245,0.379,0.558,0.617
,,p.global.WetfoodFish,0.212,0.145,0.01,0.019,0.099,0.188,0.303,0.49,0.545
,,p.global.WetfoodMeat,0.405,0.206,0.027,0.058,0.246,0.412,0.56,0.739,0.781
Beatle,H21,p.global.CombinedPrey,0.163,0.111,0.008,0.015,0.078,0.149,0.228,0.371,0.416
,,p.global.KKDF,0.376,0.166,0.051,0.086,0.259,0.39,0.498,0.626,0.669
,,p.global.WetfoodFish,0.126,0.114,0.005,0.009,0.042,0.091,0.173,0.36,0.436
,,p.global.WetfoodMeat,0.335,0.218,0.015,0.034,0.151,0.306,0.489,0.725,0.79
Bella,H43,Model did not run,,,,,,,,,
Boris,H48,p.global.CombinedPrey,0.199,0.2,0.006,0.011,0.055,0.132,0.271,0.646,0.776
,,p.global.HillsDF,0.801,0.2,0.224,0.354,0.729,0.868,0.945,0.989,0.994
Capt. America,H31,p.global.CombinedPrey,0.27,0.175,0.014,0.029,0.132,0.249,0.383,0.59,0.66
,,p.global.PurinaDF,0.27,0.185,0.012,0.024,0.118,0.238,0.39,0.614,0.675
,,p.global.WetfoodFish,0.175,0.136,0.009,0.016,0.074,0.145,0.24,0.452,0.526
,,p.global.WetfoodMeat,0.285,0.198,0.011,0.021,0.119,0.255,0.423,0.651,0.718
Catniss Everdeen,H45,p.global.CombinedPrey,0.733,0.19,0.24,0.39,0.617,0.762,0.883,0.979,0.99
,,p.global.KirklandDF,0.267,0.19,0.01,0.021,0.117,0.238,0.383,0.61,0.76
Cayden,H27,p.global.CombinedPrey,0.213,0.145,0.009,0.018,0.101,0.193,0.3,0.486,0.554
,,p.global.IamsDF,0.242,0.168,0.011,0.022,0.106,0.214,0.346,0.565,0.626
,,p.global.WetfoodFish,0.221,0.154,0.012,0.026,0.11,0.192,0.299,0.529,0.613
,,p.global.WetfoodMeat,0.324,0.202,0.018,0.033,0.156,0.304,0.472,0.68,0.729
Climber,H38,p.global.CombinedPrey,0.38,0.196,0.052,0.098,0.236,0.354,0.501,0.745,0.817
,,p.global.IamsDF,0.62,0.196,0.183,0.255,0.499,0.646,0.764,0.902,0.948
Don Carlos,H16,p.global.CombinedPrey,0.821,0.129,0.536,0.579,0.742,0.84,0.927,0.987,0.993
,,p.global.KirklandDF,0.179,0.129,0.007,0.013,0.073,0.16,0.258,0.421,0.464
Donald Fluffypants,H9,p.global.CombinedPrey,0.638,0.196,0.271,0.319,0.488,0.636,0.795,0.949,0.972
,,p.global.KirklandDF,0.362,0.196,0.028,0.051,0.205,0.364,0.512,0.681,0.729
Douglas,H75,Model did not run,,,,,,,,,
Ellie,H5,Model did not run,,,,,,,,,
Fey,H39,p.global.CombinedPrey,0.478,0.26,0.031,0.07,0.265,0.474,0.688,0.911,0.947
,,p.global.WellnessDF,0.522,0.26,0.053,0.089,0.312,0.526,0.735,0.93,0.969
Fiona,H36,p.global.CombinedPrey,0.277,0.092,0.166,0.175,0.218,0.257,0.312,0.445,0.521
,,p.global.MMDF,0.723,0.092,0.479,0.555,0.688,0.743,0.782,0.825,0.834
Gianni,H54,p.global.CombinedPrey,0.202,0.185,0.006,0.012,0.065,0.148,0.276,0.608,0.72
,,p.global.NBDF,0.683,0.186,0.146,0.252,0.623,0.747,0.809,0.866,0.879
,,p.global.WetfoodFish,0.115,0.07,0.008,0.015,0.061,0.111,0.158,0.229,0.266
Gracie,H49,.global.CombinedPrey,0.241,0.175,0.013,0.024,0.112,0.209,0.325,0.578,0.698
,,p.global.PurinaDF,0.759,0.175,0.302,0.422,0.675,0.791,0.888,0.976,0.987
Hailey,H30,p.global.CombinedPrey,0.668,0.186,0.311,0.362,0.524,0.671,0.819,0.957,0.979
,,p.global.RCDF,0.332,0.186,0.021,0.043,0.181,0.329,0.476,0.638,0.689
Hazel Grace,H79,p.global.Catfood,0.545,0.247,0.062,0.101,0.371,0.564,0.736,0.932,0.961
,,p.global.CombinedPrey,0.455,0.247,0.039,0.068,0.264,0.436,0.629,0.899,0.938
Hershey,H61,.global.CombinedPrey,0.316,0.201,0.024,0.042,0.166,0.283,0.428,0.702,0.805
,,p.global.PurinaDF,0.684,0.201,0.195,0.298,0.572,0.717,0.834,0.958,0.976
Jetpack,H41,p.global.CombinedPrey,0.287,0.206,0.027,0.053,0.138,0.231,0.383,0.735,0.838
,,p.global.KirklandDF,0.713,0.206,0.162,0.265,0.617,0.769,0.862,0.947,0.973
Jitterbug,H12,p.global.CombinedPrey,0.457,0.211,0.151,0.178,0.295,0.415,0.59,0.872,0.932
,,p.global.KirklandDF,0.543,0.211,0.068,0.128,0.41,0.585,0.705,0.822,0.849
Joey,H50,p.global.CombinedPrey,0.522,0.135,0.335,0.352,0.424,0.495,0.592,0.79,0.872
,,p.global.MMDF,0.478,0.135,0.128,0.21,0.408,0.505,0.576,0.648,0.665
Kicky,H3,p.global.CombinedPrey,0.168,0.134,0.006,0.012,0.061,0.14,0.244,0.423,0.496
,,p.global.IamsDF,0.344,0.177,0.025,0.055,0.214,0.342,0.469,0.638,0.687
,,p.global.WetfoodFish,0.233,0.144,0.018,0.035,0.126,0.216,0.313,0.498,0.579
,,p.global.WetfoodMeat,0.254,0.185,0.007,0.017,0.1,0.224,0.377,0.603,0.678
Leopard,H24,p.global.CombinedPrey,0.205,0.139,0.008,0.019,0.099,0.185,0.285,0.467,0.533
,,p.global.PurinaDF,0.339,0.196,0.022,0.04,0.18,0.333,0.486,0.668,0.719
,,p.global.WetFoodFish,0.187,0.153,0.007,0.015,0.073,0.152,0.258,0.498,0.606
,,p.global.WetfoodMeat,0.269,0.173,0.015,0.026,0.123,0.25,0.388,0.58,0.634
Luna M.,H37,p.global.CombinedPrey,0.332,0.27,0.009,0.021,0.113,0.254,0.499,0.889,0.935
,,p.global.TOWDF,0.668,0.27,0.065,0.111,0.501,0.746,0.887,0.979,0.991
Luna A.,H33,p.global.Catfood,0.901,0.092,0.669,0.754,0.887,0.922,0.948,0.975,0.984
,,p.global.CombinedPrey,0.099,0.092,0.016,0.025,0.052,0.078,0.113,0.246,0.331
Nola,H73,p.global.Catfood,0.336,0.182,0.024,0.045,0.192,0.341,0.478,0.63,0.666
,,p.global.CombinedPrey,0.664,0.182,0.334,0.37,0.522,0.659,0.808,0.955,0.976
Oatmeal,H51,Model did not run,,,,,,,,,
Orange,H70,Model did not run,,,,,,,,,
Oreo,H65,p.global.CombinedPrey,0.166,0.134,0.006,0.015,0.066,0.138,0.231,0.421,0.505
,,p.global.PurinaDF,0.591,0.206,0.094,0.178,0.473,0.615,0.742,0.889,0.918
,,p.global.WetfoodMeat,0.243,0.183,0.007,0.016,0.095,0.204,0.351,0.594,0.685
Pancho,H78,p.global.Catfood,0.173,0.122,0.007,0.014,0.072,0.151,0.252,0.4,0.442
,,p.global.CombinedPrey,0.827,0.122,0.558,0.6,0.748,0.849,0.928,0.986,0.993
Pumpkin,H42,Model did not run,,,,,,,,,
Sandstorm,H13,Model did not run,,,,,,,,,
Selkie,H82,p.global.CombinedPrey,0.223,0.195,0.006,0.013,0.078,0.168,0.312,0.636,0.733
,,p.global.NBDF,0.65,0.195,0.112,0.204,0.573,0.717,0.788,0.846,0.861
,,p.global.WetfoodFish,0.127,0.079,0.009,0.017,0.067,0.122,0.174,0.257,0.308
Smattie,H18,p.global.CombinedPrey,0.23,0.181,0.015,0.028,0.1,0.181,0.308,0.611,0.732
,,p.global.NBDF,0.668,0.186,0.16,0.249,0.595,0.727,0.8,0.861,0.878
,,p.global.WetfoodFish,0.102,0.059,0.008,0.015,0.062,0.098,0.132,0.206,0.243
Snickerdoodle,H22,.global.CombinedPrey,0.149,0.19,0.003,0.006,0.034,0.08,0.179,0.59,0.79
,,p.global.HillsDF,0.851,0.19,0.21,0.41,0.821,0.92,0.966,0.994,0.997
Sunny Z.,H25,p.global.CombinedPrey,0.436,0.193,0.115,0.158,0.295,0.417,0.554,0.797,0.864
,,p.global.IamsDF,0.564,0.193,0.136,0.203,0.446,0.583,0.705,0.842,0.885
Sunny B.,H60,p.global.CombinedPrey,0.329,0.178,0.035,0.064,0.201,0.307,0.437,0.65,0.72
,,p.global.IamsDF,0.671,0.178,0.28,0.35,0.563,0.693,0.799,0.936,0.965
Tallulah,H26,p.global.CombinedPrey,0.796,0.147,0.474,0.531,0.7,0.819,0.919,0.986,0.994
,,p.global.KirklandDF,0.204,0.147,0.006,0.014,0.081,0.181,0.3,0.469,0.526
Tara,H7,p.global.Catfood,0.44,0.222,0.033,0.062,0.266,0.456,0.623,0.77,0.803
,,p.global.CombinedPrey,0.56,0.222,0.197,0.23,0.377,0.544,0.734,0.938,0.967
Tex,H66,p.global.CombinedPrey,0.195,0.191,0.005,0.01,0.052,0.126,0.281,0.605,0.697
,,p.global.DryFood,0.481,0.219,0.033,0.069,0.321,0.518,0.655,0.784,0.818
,,p.global.WetfoodFish,0.324,0.199,0.033,0.058,0.18,0.285,0.432,0.725,0.797
Tiger,H40,Model did not run,,,,,,,,,
Tonka Apple,H17,p.global.CombinedPrey,0.22,0.143,0.013,0.027,0.111,0.203,0.307,0.49,0.56
,,p.global.PurinaDF,0.362,0.201,0.022,0.04,0.201,0.361,0.511,0.692,0.735
,,p.global.WetfoodFish,0.169,0.145,0.007,0.012,0.063,0.131,0.236,0.459,0.568
,,p.global.WetfoodMeat,0.248,0.166,0.013,0.025,0.116,0.221,0.359,0.555,0.616
Trinity,H52,p.global.CombinedPrey,0.638,0.222,0.151,0.221,0.48,0.654,0.821,0.961,0.977
,,p.global.SGDF,0.362,0.222,0.023,0.039,0.179,0.346,0.52,0.779,0.849
Vacuum,H56,p.global.CombinedPrey,0.17,0.105,0.011,0.024,0.096,0.16,0.227,0.364,0.419
,,p.global.KKDF,0.476,0.162,0.09,0.161,0.379,0.501,0.593,0.704,0.731
,,p.global.WetfoodFish,0.105,0.107,0.003,0.005,0.031,0.07,0.144,0.33,0.408
,,p.global.WetfoodMeat,0.248,0.169,0.01,0.02,0.109,0.226,0.365,0.553,0.616
Ziggy,H68,Model did not run,,,,,,,,,
